order_id,account_id,bank_to,account_to,amount,k_symbol
29795,261,IJ,49824553,2182.0,SIPO
29796,261,ST,63415229,371.0,
29797,263,WX,73582678,6145.0,SIPO
29801,267,KL,4520118,3074.0,SIPO
29802,268,OP,4418570,3121.0,SIPO
29805,270,QR,95370232,5462.0,SIPO
29807,272,IJ,15116119,7454.0,SIPO
29808,273,ST,77701490,1320.1,LEASING
29809,273,OP,80156594,5965.0,SIPO
29820,279,EF,46485179,624.0,SIPO
29821,279,QR,68556356,1380.0,
29826,282,GH,6997305,7531.0,SIPO
29827,282,AB,4248011,802.0,
29831,286,ST,3664666,9848.0,SIPO
29838,290,YZ,60961633,2577.0,UVER
29839,290,UV,10382223,2653.0,SIPO
29848,294,MN,91239595,5842.0,SIPO
29849,294,KL,94949411,145.0,
29852,295,AB,78368478,6992.0,SIPO
29856,302,ST,12600803,3236.0,SIPO
29857,303,KL,43664085,3803.0,SIPO
29858,303,UV,25709551,3132.0,UVER
29860,305,ST,77063089,2953.0,SIPO
29861,306,IJ,70354622,3657.0,SIPO
29863,309,UV,74396675,1901.0,UVER
29870,312,WX,31189668,7814.0,SIPO
29871,313,GH,6982702,2294.0,SIPO
29872,314,WX,56231456,2785.0,UVER
29873,314,KL,99187093,13691.0,SIPO
29874,315,MN,6354302,3509.0,UVER
29882,322,ST,4537106,6550.0,SIPO
29886,325,GH,69376104,2741.0,SIPO
29887,326,MN,44978225,1881.0,SIPO
29888,326,EF,63815659,1567.0,SIPO
29896,331,UV,55443829,3528.0,SIPO
29897,332,MN,6061673,2385.0,SIPO
29903,335,GH,80065911,2697.0,SIPO
29905,338,AB,37576079,2252.0,SIPO
29906,339,OP,60226070,7801.2,UVER
29907,339,WX,52391654,4087.0,SIPO
29911,342,KL,44861531,2332.0,SIPO
29915,345,QR,68522327,8819.0,SIPO
29917,347,CD,37914210,7801.2,UVER
29918,349,ST,83005469,4660.0,SIPO
29919,349,YZ,66345286,3568.0,UVER
29934,359,UV,86209541,3544.0,SIPO
29951,368,ST,13122338,4381.0,SIPO
29952,368,EF,27974027,742.0,
29962,372,ST,65089881,7785.0,SIPO
29963,372,MN,83496254,2148.0,
29966,376,IJ,32540393,7097.0,SIPO
29967,378,MN,28203147,3840.2,UVER
29968,378,KL,6934583,8537.0,SIPO
29984,385,WX,28537345,2160.0,SIPO
29985,385,ST,91164779,31.0,
29987,386,CD,39887976,4711.0,SIPO
29991,390,YZ,24210876,4977.0,SIPO
30004,396,UV,71221321,5245.0,SIPO
30005,396,GH,26179212,68.0,
30012,401,AB,66742342,3600.0,SIPO
30013,401,EF,88922524,1769.0,
30025,407,WX,90311783,5411.0,SIPO
30026,407,EF,32662862,14.0,
30032,413,CD,49738037,2107.0,SIPO
30049,428,MN,64758032,3987.0,SIPO
30051,431,GH,65853184,6482.0,SIPO
30052,431,KL,66201281,715.0,
30053,434,WX,98904990,5666.0,SIPO
30054,434,ST,31071788,1637.0,
30055,435,MN,75157016,3189.0,SIPO
30056,436,WX,36372977,4885.0,SIPO
30057,436,IJ,61715274,72.0,
30069,443,KL,39137601,1508.0,SIPO
30070,443,IJ,32109809,463.0,
30075,446,EF,81248056,6941.0,SIPO
30082,450,QR,70611452,2404.0,SIPO
30083,451,UV,62285023,7208.0,UVER
30086,453,QR,23475498,7012.0,SIPO
30087,454,GH,80305754,5687.0,SIPO
30092,458,AB,65390032,9586.0,SIPO
30093,458,CD,51641261,1031.0,LEASING
30094,460,MN,57986551,3554.0,SIPO
30095,461,OP,30994916,1530.0,SIPO
30098,464,UV,4756558,3509.0,SIPO
30099,465,ST,3081554,1278.5,LEASING
30100,465,IJ,59340989,11126.0,SIPO
30101,467,UV,90201395,3937.0,SIPO
30102,467,AB,73301529,2895.0,
30109,471,ST,26110238,4695.0,SIPO
30110,471,CD,97181409,931.0,
30113,472,UV,6824928,8200.2,UVER
30118,474,UV,33440119,694.0,SIPO
30119,474,OP,79647504,1606.0,
30125,479,YZ,117046,2064.0,SIPO
30135,484,GH,19220835,1652.0,SIPO
30136,484,MN,16825324,1995.0,
30146,491,EF,26434993,9090.0,SIPO
30147,494,EF,88363974,2629.6,LEASING
30148,494,GH,24389368,8728.0,SIPO
30162,503,QR,34156501,7175.0,SIPO
30163,503,GH,41920358,1746.0,LEASING
30164,504,UV,2230048,2308.0,SIPO
30176,511,MN,4644132,2629.6,LEASING
30180,515,CD,6447190,2750.0,SIPO
30185,519,AB,65870404,3245.0,SIPO
30186,520,MN,67366206,2332.0,SIPO
30188,522,WX,31764650,77.0,SIPO
30189,522,GH,18812161,4930.0,
30191,525,MN,88872944,4382.7,UVER
30192,525,ST,67853247,6454.0,SIPO
30193,526,MN,22128474,5074.0,SIPO
30197,531,OP,48101,2144.0,SIPO
30200,534,KL,26713061,1747.0,SIPO
30201,534,KL,88319682,713.0,
30208,537,ST,79339456,1848.0,SIPO
30217,544,EF,24082440,3798.2,UVER
30232,558,CD,60158938,4081.0,SIPO
30233,558,WX,11205697,1476.0,
30235,560,QR,17489135,5683.0,SIPO
30239,564,YZ,8056086,295.0,SIPO
30240,564,IJ,56459259,8713.0,
30244,570,YZ,48868894,6273.0,SIPO
30251,575,KL,32180041,756.0,SIPO
30252,575,GH,62339043,5329.0,
30253,576,OP,71033382,3662.0,SIPO
30254,577,QR,92529356,5120.0,SIPO
30261,580,KL,18037027,3571.0,SIPO
30262,580,AB,27916240,1715.0,
30263,581,KL,62047934,1502.0,SIPO
30266,584,MN,76447403,2302.0,SIPO
30267,588,AB,29001635,3141.0,SIPO
30268,588,MN,81579917,1437.0,
30271,591,WX,33145171,2788.0,SIPO
30274,594,CD,76892024,2054.0,SIPO
30275,595,WX,22432470,4702.0,SIPO
30280,600,UV,6513369,5952.0,SIPO
30283,603,KL,46360403,4361.0,SIPO
30284,605,CD,93390070,6876.0,SIPO
30292,611,AB,98749815,2284.0,SIPO
30297,616,OP,38012558,1869.0,SIPO
30304,621,GH,21300334,366.0,SIPO
30305,621,QR,32067704,3043.0,
30310,623,ST,73409360,419.0,SIPO
30311,623,IJ,34328079,1653.0,
30312,625,CD,76538800,2607.2,LEASING
30313,625,QR,50207537,11457.0,SIPO
30314,626,WX,22472965,3639.0,SIPO
30318,629,QR,91464036,1207.0,SIPO
30319,629,WX,2222919,1500.0,SIPO
30321,631,GH,89184629,2394.0,SIPO
30322,632,OP,31188458,842.0,SIPO
30323,632,CD,54220384,199.0,
30338,641,WX,41606414,3330.0,SIPO
30344,647,UV,41266620,6465.0,SIPO
30346,649,AB,90564441,3430.1,LEASING
30347,650,YZ,70699482,1697.0,SIPO
30352,654,AB,49887746,2885.0,SIPO
30353,655,CD,91412663,1899.0,SIPO
30354,655,WX,48714017,2036.0,
30390,673,KL,71669763,4586.0,SIPO
30394,676,GH,72221982,3017.0,SIPO
30404,682,QR,39035719,1477.0,SIPO
30405,682,CD,62099003,537.0,
30408,685,AB,46590065,3847.2,LEASING
30415,689,IJ,27240383,3847.2,LEASING
30416,689,MN,58262753,4989.0,SIPO
30420,690,ST,19503748,7152.0,SIPO
30421,690,ST,45288330,1749.0,LEASING
30423,692,QR,82628667,4366.0,SIPO
30424,692,OP,98083799,137.0,
30425,693,IJ,37686020,6329.0,SIPO
30432,700,WX,21956253,1116.0,SIPO
30433,700,YZ,83101778,1646.0,
30435,703,QR,41043675,2306.0,SIPO
30438,705,KL,67101108,4161.0,SIPO
30443,712,UV,19930512,3847.2,LEASING
30444,713,QR,13186729,3581.0,SIPO
30450,718,KL,3925556,6412.0,UVER
30451,718,KL,22049463,726.0,SIPO
30454,719,UV,95629697,1991.0,SIPO
30468,728,YZ,24685102,1143.0,SIPO
30469,728,WX,87029039,4119.0,
30471,729,AB,49945181,1872.0,SIPO
30472,729,GH,95585292,114.0,
30474,731,UV,24144953,2706.0,SIPO
30486,743,EF,82371133,2691.0,SIPO
30496,750,YZ,4588097,6615.0,SIPO
30507,759,UV,40699601,1952.0,SIPO
30515,767,KL,91866522,3564.0,SIPO
30516,767,QR,39504963,504.0,
30525,772,IJ,69179099,4225.0,SIPO
30526,772,YZ,62614697,660.0,
30530,775,EF,6431270,1168.0,SIPO
30531,775,ST,6988245,2439.0,
30540,783,MN,85706555,3242.0,SIPO
30545,785,MN,34928149,4335.8,UVER
30546,785,CD,69687145,7395.0,SIPO
30549,787,GH,43629378,4395.0,SIPO
30550,787,OP,81038975,122.0,
30555,790,MN,86892044,4335.8,UVER
30556,791,CD,11072284,3054.0,SIPO
30563,794,EF,49722951,1107.0,SIPO
30564,794,YZ,95150184,907.0,
30566,798,CD,6413495,2182.0,SIPO
30567,800,ST,70286303,2203.0,SIPO
30568,800,IJ,79600321,299.0,
30586,815,MN,93358599,1949.0,SIPO
30599,823,CD,43020331,62.0,SIPO
30600,823,WX,75077736,1515.0,
30603,825,YZ,35577237,9235.0,SIPO
30604,825,YZ,87110560,4423.0,UVER
30608,827,QR,21975636,2260.0,SIPO
30614,834,CD,48387557,2473.0,SIPO
30620,839,GH,73115485,4254.0,SIPO
30622,841,IJ,1747614,2109.0,SIPO
30623,842,IJ,84613001,3278.0,SIPO
30624,843,EF,10746133,955.0,SIPO
30625,843,WX,32156717,128.0,
30627,844,ST,37441408,1640.0,SIPO
30628,844,GH,24649799,12531.0,
30630,846,WX,61563986,7795.5,UVER
30631,848,OP,79923873,3400.0,SIPO
30632,848,ST,72638684,1590.0,
30634,850,EF,23098129,14811.0,SIPO
30635,851,KL,59494537,2090.0,LEASING
30636,851,GH,75825410,3254.0,SIPO
30638,852,GH,3289789,69.0,SIPO
30639,852,KL,63201045,2013.0,
30640,853,AB,85631608,4673.0,SIPO
30641,853,QR,71826153,1378.0,
30651,857,AB,51452183,3019.0,SIPO
30652,858,ST,28566694,5456.0,SIPO
30653,859,ST,87632876,463.0,SIPO
30654,859,MN,97751479,855.0,
30675,870,EF,43178206,4562.0,SIPO
30677,872,QR,4002279,2762.0,SIPO
30682,874,YZ,10270870,1642.3,LEASING
30683,874,OP,10934925,1053.0,SIPO
30686,876,OP,8003074,3796.0,SIPO
30690,879,MN,22161680,2094.0,SIPO
30691,880,WX,69104659,1690.1,LEASING
30692,880,OP,25282103,4840.0,SIPO
30702,884,AB,15814888,2259.0,SIPO
30703,885,GH,90082960,872.0,SIPO
30704,885,UV,97141348,2420.0,
30720,898,EF,70056313,2882.0,SIPO
30721,898,UV,34259772,1582.0,
30722,899,YZ,59026044,1626.6,LEASING
30732,906,AB,85822999,2240.0,SIPO
30733,907,UV,56898051,2118.0,SIPO
30736,911,GH,17067635,9600.0,SIPO
30737,911,WX,10116327,968.0,
30739,913,EF,87569880,2128.0,SIPO
30740,913,QR,52878284,2357.0,
30749,919,KL,87937092,4850.0,SIPO
30751,921,QR,13826614,1240.0,SIPO
30752,921,YZ,38948452,536.0,SIPO
30756,923,YZ,9631318,2087.0,SIPO
30766,930,IJ,14144766,9356.0,SIPO
30767,931,QR,69328868,998.0,SIPO
30768,931,OP,98647319,1151.0,
30774,935,OP,14574545,2118.0,SIPO
30778,938,AB,33329439,3282.0,SIPO
30779,938,GH,56959378,371.0,UVER
30780,939,QR,68136739,2108.0,SIPO
30781,940,OP,99014985,4738.0,UVER
30785,945,YZ,63545399,8215.0,SIPO
30791,950,CD,13765102,8910.0,SIPO
30792,951,KL,47982436,2371.0,SIPO
30794,953,OP,93842464,1768.0,SIPO
30795,953,OP,89555656,185.0,
30796,954,WX,698990,357.0,SIPO
30797,954,AB,55569523,1242.0,
30799,955,MN,52028411,7411.0,SIPO
30801,958,OP,78640448,3990.0,SIPO
30817,975,CD,35931646,3550.0,SIPO
30822,980,ST,79582625,3632.0,SIPO
30823,980,EF,4869163,2889.0,
30838,988,UV,82773095,2512.0,SIPO
30839,989,CD,77140342,2262.0,SIPO
30840,989,KL,78910153,1147.0,SIPO
30843,992,QR,63584351,3231.0,SIPO
30844,992,KL,77042627,1071.0,
30847,993,WX,89932006,1812.3,UVER
30850,996,KL,40804118,1934.0,SIPO
30869,1004,KL,48386609,5237.0,UVER
30872,1006,YZ,28566903,390.0,SIPO
30873,1006,EF,8671278,2008.0,
30884,1015,KL,18432247,3925.0,SIPO
30898,1024,IJ,50779986,2074.0,SIPO
30905,1026,IJ,92388706,8099.0,SIPO
30906,1026,WX,63060033,335.0,
30920,1037,ST,89659267,1062.0,SIPO
30921,1037,UV,73314934,940.0,
30931,1044,MN,62729650,2880.0,SIPO
30932,1044,GH,18615305,188.0,
30935,1047,KL,74345159,4339.0,SIPO
30937,1049,EF,93252652,1545.0,SIPO
30938,1049,EF,13402939,954.0,
30942,1054,IJ,38208055,4736.0,SIPO
30947,1058,WX,49857848,4761.0,SIPO
30948,1058,WX,54740381,408.0,
30955,1068,ST,2958560,4219.5,UVER
30956,1068,AB,6389087,4737.0,SIPO
30960,1070,MN,65257990,5116.0,SIPO
30962,1072,OP,47369968,3520.0,SIPO
30963,1073,OP,88794773,3843.0,SIPO
30965,1075,WX,87197690,3868.0,SIPO
30966,1075,UV,90986024,208.0,
30971,1080,WX,40894991,6185.0,SIPO
30973,1082,WX,8899295,2189.0,SIPO
30987,1090,ST,12971461,3317.0,SIPO
30989,1093,ST,99570404,8022.8,UVER
30990,1093,EF,21858203,10261.0,SIPO
30997,1096,MN,24721879,3488.0,SIPO
31012,1101,ST,64489167,7553.0,SIPO
31013,1102,CD,19876456,3559.0,SIPO
31015,1105,EF,96368914,1839.0,SIPO
31016,1105,WX,69901072,4015.0,
31017,1106,WX,7667500,8022.8,UVER
31018,1107,ST,55333268,1746.0,SIPO
31022,1111,UV,64148080,3962.0,SIPO
31025,1114,EF,41164273,3350.0,SIPO
31030,1118,UV,32868296,3637.0,SIPO
31031,1118,GH,4071104,1388.0,
31038,1124,WX,20725280,4813.7,LEASING
31039,1124,YZ,35057538,1030.0,SIPO
31041,1125,YZ,68780326,7895.0,UVER
31042,1125,ST,79252308,11827.0,SIPO
31045,1126,WX,12984758,2791.0,SIPO
31058,1136,IJ,88794064,3081.8,LEASING
31059,1136,YZ,58973252,6249.0,SIPO
31067,1140,YZ,74234366,2790.0,SIPO
31071,1142,KL,67380297,2077.0,SIPO
31087,1158,CD,11980402,2171.0,SIPO
31089,1160,YZ,20354813,3487.0,SIPO
31090,1160,CD,47398275,171.0,
31097,1166,CD,62584346,3105.2,UVER
31098,1166,EF,69850820,4397.0,SIPO
31108,1170,YZ,66010159,2279.3,LEASING
31109,1170,EF,53990995,13057.0,SIPO
31110,1171,AB,8577967,7893.0,SIPO
31111,1173,YZ,85918098,950.0,SIPO
31112,1173,AB,55954945,1352.0,
31113,1174,GH,72342484,720.0,SIPO
31114,1174,IJ,14356726,829.0,
31120,1177,YZ,63586568,541.0,SIPO
31121,1177,IJ,89210205,3499.0,
31125,1181,OP,84730392,3418.0,SIPO
31126,1181,WX,99466686,329.0,
31133,1187,WX,56067287,2288.0,SIPO
31134,1188,KL,60496938,4421.0,SIPO
31147,1197,ST,79359864,2582.0,SIPO
31159,1203,EF,84286474,465.0,SIPO
31160,1203,UV,74031829,3232.0,
31166,1206,KL,50189578,3279.0,SIPO
31171,1209,AB,9581202,3568.0,SIPO
31180,1217,AB,9696394,151.0,SIPO
31181,1217,YZ,58911669,1956.0,
31182,1218,IJ,27704996,3213.4,LEASING
31183,1219,IJ,86177932,3986.0,SIPO
31185,1221,QR,20722085,3213.4,LEASING
31186,1222,WX,91109859,1727.0,SIPO
31187,1223,WX,7625335,1398.0,SIPO
31188,1223,CD,87986993,4963.0,
31202,1231,GH,5624753,3485.0,SIPO
31203,1231,IJ,9577274,665.0,LEASING
31205,1234,WX,71036088,2236.0,SIPO
31206,1235,QR,36736953,1843.0,SIPO
31207,1235,GH,56642502,1049.0,SIPO
31209,1239,KL,83388852,3744.0,SIPO
31211,1241,EF,97685855,1368.0,SIPO
31212,1241,IJ,21271294,2201.0,
31214,1242,CD,11588836,5355.7,UVER
31215,1242,GH,12355560,4910.0,SIPO
31219,1244,EF,22533941,903.0,SIPO
31220,1244,IJ,81744551,2122.0,
31226,1247,YZ,9652227,2077.0,UVER
31227,1248,AB,25126809,3176.0,SIPO
31228,1249,ST,91224199,704.0,SIPO
31229,1249,GH,65504103,392.0,
31231,1250,GH,21845096,3805.2,UVER
31232,1250,YZ,14470041,61.0,SIPO
31236,1253,OP,64931833,3865.0,SIPO
31237,1253,WX,10639518,5330.0,
31242,1257,CD,16047442,4387.0,SIPO
31250,1261,CD,48037660,9222.0,SIPO
31253,1265,QR,2120972,1870.0,SIPO
31259,1268,ST,70287799,2220.0,SIPO
31264,1271,EF,44934696,4128.0,SIPO
31266,1273,IJ,25406718,3863.0,SIPO
31271,1277,OP,2533764,3175.0,SIPO
31282,1284,AB,29951918,4375.5,UVER
31283,1285,YZ,21816671,7213.0,SIPO
31284,1286,IJ,38014668,8500.0,SIPO
31289,1289,OP,91892945,6950.0,SIPO
31293,1292,MN,61391454,1653.0,SIPO
31294,1292,UV,43192416,1457.0,
31296,1293,MN,91569077,3484.0,SIPO
31300,1296,GH,57227110,1607.0,SIPO
31308,1302,UV,38729328,3924.0,SIPO
31309,1303,IJ,57378178,3601.0,SIPO
31315,1308,CD,27181756,3206.0,SIPO
31333,1319,IJ,20581275,6185.0,SIPO
31334,1319,YZ,35347509,884.0,
31340,1321,EF,33750575,2683.0,SIPO
31341,1321,CD,3041947,636.0,LEASING
31344,1323,OP,80685257,9720.0,SIPO
31345,1324,ST,6513697,2741.0,SIPO
31346,1324,GH,7442152,680.0,
31349,1326,YZ,57284325,96.0,SIPO
31350,1326,QR,42594999,786.0,
31354,1329,UV,31472492,1960.2,UVER
31355,1329,QR,69419830,3368.0,SIPO
31364,1336,CD,63792580,9426.0,SIPO
31366,1338,CD,87075221,4545.0,SIPO
31367,1338,OP,42143994,897.0,
31380,1345,ST,37129354,3294.0,SIPO
31381,1345,AB,89492493,848.0,
31385,1348,CD,53150421,5025.0,SIPO
31386,1348,ST,8676511,17.0,
31401,1355,WX,64249014,3606.0,SIPO
31412,1366,GH,26513684,4773.0,SIPO
31413,1366,ST,24074399,310.0,
31415,1367,MN,3021765,3872.0,SIPO
31416,1367,ST,41883254,193.0,
31422,1370,WX,50552004,1852.0,SIPO
31430,1377,QR,94826453,2272.0,SIPO
31439,1381,ST,30807364,2705.0,SIPO
31441,1383,GH,38012504,2173.0,SIPO
31449,1390,AB,35191500,1011.0,SIPO
31450,1390,EF,43511337,6147.0,
31451,1391,QR,42852616,3053.0,SIPO
31452,1392,EF,64765941,3081.0,SIPO
31453,1392,ST,15265077,4216.0,
31460,1399,IJ,36796647,5427.0,SIPO
31461,1399,WX,32165342,13.0,
31474,1404,IJ,6610733,2121.0,LEASING
31475,1404,UV,64530676,6306.0,SIPO
31488,1411,CD,50814467,5174.0,SIPO
31500,1416,GH,1996410,3688.0,LEASING
31501,1417,QR,84443246,7394.0,SIPO
31505,1422,UV,24991828,2655.0,SIPO
31506,1423,WX,64437407,2394.0,SIPO
31507,1423,IJ,50862812,1213.0,
31513,1429,EF,8150911,2166.0,SIPO
31518,1434,QR,81822454,3214.0,SIPO
31519,1435,WX,87787443,7949.0,SIPO
31520,1436,QR,96351390,3104.0,SIPO
31526,1440,ST,85377597,56.0,SIPO
31527,1440,IJ,63291668,2020.0,
31532,1444,YZ,56467163,2024.0,SIPO
31540,1448,CD,82941960,7156.0,UVER
31541,1449,KL,82136630,2820.0,SIPO
31542,1449,UV,17508918,320.0,
31565,1467,QR,10475975,6814.0,SIPO
31566,1468,AB,25955593,439.0,SIPO
31567,1468,IJ,53378862,1710.0,
31568,1469,EF,97405832,3574.0,SIPO
31575,1473,QR,28500956,1984.0,SIPO
31576,1474,IJ,16386759,2695.0,SIPO
31579,1478,KL,82071739,11931.0,SIPO
31583,1482,KL,43270033,2687.0,SIPO
31584,1482,KL,10367054,1766.0,
31586,1483,YZ,92452376,1962.0,SIPO
31587,1483,AB,39453744,2701.0,
31596,1487,KL,70317125,2204.0,SIPO
31597,1488,WX,69482773,5850.0,SIPO
31598,1488,CD,64393782,230.0,
31601,1490,CD,39819097,1657.7,LEASING
31608,1496,AB,4760909,6931.0,SIPO
31609,1496,GH,36367225,161.0,
31613,1498,ST,26674098,2762.8,UVER
31616,1501,OP,40921163,2292.0,SIPO
31618,1503,OP,11958569,3171.0,SIPO
31619,1504,UV,29212069,619.0,SIPO
31620,1504,WX,69836336,4887.0,
31621,1506,UV,28518402,9498.0,UVER
31625,1509,EF,43322950,4943.0,SIPO
31626,1509,QR,20525896,2320.0,
31628,1511,OP,43543106,1657.7,LEASING
31630,1513,AB,52238965,1632.0,SIPO
31631,1513,QR,85800695,3912.0,
31634,1514,ST,47490662,1547.0,SIPO
31635,1514,WX,89040159,2234.0,SIPO
31636,1515,IJ,74637114,1538.0,SIPO
31637,1515,CD,84623413,774.0,
31643,1521,GH,37432712,3024.0,SIPO
31647,1525,QR,24106085,1625.0,SIPO
31651,1528,QR,58779168,3981.0,UVER
31658,1532,AB,67652118,7903.0,SIPO
31661,1534,EF,3089267,7451.0,SIPO
31662,1534,ST,36498439,2155.0,
31663,1535,UV,60955130,2757.0,SIPO
31668,1540,IJ,33179605,4540.0,SIPO
31669,1540,UV,76470201,3057.0,
31676,1546,UV,49245339,4173.0,SIPO
31685,1555,QR,32593053,3263.0,SIPO
31688,1558,IJ,10707974,1148.0,SIPO
31689,1558,ST,33069950,2899.0,
31691,1559,KL,31869977,8004.0,SIPO
31696,1561,CD,91776167,1924.0,SIPO
31697,1561,WX,32302445,51.0,SIPO
31698,1562,EF,14241010,1933.0,SIPO
31702,1566,WX,11077720,4375.0,SIPO
31703,1566,WX,15924412,1164.0,
31706,1567,UV,14090234,480.0,SIPO
31707,1567,CD,53102117,6000.0,
31717,1570,UV,20745683,2865.0,SIPO
31718,1571,AB,54680818,7692.0,SIPO
31724,1577,KL,69888543,1282.0,SIPO
31725,1577,KL,58483004,988.0,
31727,1578,UV,44909232,1825.0,SIPO
31730,1581,AB,55002999,5758.0,SIPO
31731,1582,CD,24857425,1917.0,SIPO
31732,1583,QR,49376446,8094.2,UVER
31733,1584,ST,97312646,1983.0,SIPO
31736,1590,ST,5941856,5847.0,SIPO
31737,1590,WX,79533683,1025.0,
31743,1592,QR,4900444,224.0,SIPO
31744,1592,GH,84782951,1613.0,SIPO
31745,1593,MN,35590773,2086.0,SIPO
31752,1596,KL,29656684,1306.0,SIPO
31753,1596,OP,20661324,1997.0,SIPO
31762,1603,WX,92258166,2359.0,SIPO
31763,1603,MN,3211814,1187.0,
31773,1613,GH,46822315,3628.0,SIPO
31774,1614,CD,41090893,5763.0,SIPO
31775,1615,QR,27684122,3124.0,SIPO
31777,1617,AB,40236705,1536.0,SIPO
31780,1620,ST,23482644,1931.0,SIPO
31794,1631,ST,78712355,2743.0,SIPO
31795,1632,OP,65521752,1977.6,LEASING
31796,1633,CD,27727192,2145.0,SIPO
31797,1635,EF,72468793,5683.0,SIPO
31806,1640,UV,42289441,4783.0,SIPO
31820,1646,ST,80997341,6521.0,SIPO
31821,1646,QR,99677460,1651.0,
31822,1647,OP,55010729,2412.0,SIPO
31823,1647,GH,78795104,1199.0,
31828,1652,WX,88888269,3422.0,SIPO
